Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
26.872,1367,26,872000000,world,9.816000000011039,-9.805999999998932,4.293000000016862,-1.3432935678238787e-11,5.955743566778219e-10,2.1719677925303117e-13,1.0
26.976,1368,26,968000000,world,9.816000000011151,-9.805999999999031,4.293000000012054,-1.568119562097443e-11,6.017460282132876e-10,6.007153874755743e-14,1.0
26.984,1369,26,984000000,world,9.816000000011151,-9.805999999999031,4.293000000011921,-1.5743444487332682e-11,6.019123808880276e-10,6.008476614634817e-14,1.0
27.0,1370,27,0,world,9.816000000011151,-9.80599999999903,4.293000000011838,-1.5782941510601574e-11,6.020188925672732e-10,6.045368569854506e-14,1.0
27.024,1371,27,24000000,world,9.816000000011154,-9.805999999999035,4.293000000011765,-1.581810109469468e-11,6.021113113286174e-10,5.4272748196436314e-14,1.0
27.04,1372,27,32000000,world,9.816000000011158,-9.805999999999036,4.29300000001175,-1.5825455803625276e-11,6.021306592012918e-10,5.140095361198951e-14,1.0
27.056,1373,27,48000000,world,9.816000000011162,-9.80599999999904,4.293000000011728,-1.583611214033752e-11,6.021585586258381e-10,4.53384110286429e-14,1.0
27.072,1374,27,72000000,world,9.816000000011167,-9.805999999999045,4.293000000011708,-1.5845283931716548e-11,6.021828261225231e-10,3.625802412426353e-14,1.0
27.088,1375,27,80000000,world,9.816000000011169,-9.805999999999047,4.293000000011705,-1.5847241346827075e-11,6.021879521983447e-10,3.2991536086282306e-14,1.0
27.12,1376,27,104000000,world,9.816000000011174,-9.805999999999052,4.293000000011697,-1.5851265277322432e-11,6.021978356130458e-10,2.21491714604667e-14,1.0
27.136,1377,27,120000000,world,9.81600000001118,-9.805999999999056,4.293000000011693,-1.5853405616544504e-11,6.022029780736424e-10,1.2573223432822917e-14,1.0
27.136,1378,27,128000000,world,9.81600000001118,-9.805999999999056,4.293000000011693,-1.5853405616544504e-11,6.022029780736424e-10,1.2573223432822917e-14,1.0
27.168,1379,27,152000000,world,9.816000000011181,-9.80599999999906,4.29300000001169,-1.58552249997109e-11,6.022061176046582e-10,3.364058639196105e-15,1.0
27.168,1380,27,160000000,world,9.816000000011181,-9.80599999999906,4.29300000001169,-1.58552249997109e-11,6.022061176046582e-10,3.364058639196105e-15,1.0
27.184,1381,27,176000000,world,9.816000000011181,-9.80599999999906,4.29300000001169,-1.5855522692689547e-11,6.022071547594426e-10,3.5258279557836074e-15,1.0
27.192,1382,27,192000000,world,9.816000000011181,-9.80599999999906,4.29300000001169,-1.5855534749990177e-11,6.022073499031536e-10,4.529895288061971e-15,1.0
27.208,1383,27,208000000,world,9.81600000001118,-9.805999999999056,4.29300000001169,-1.5855470218976395e-11,6.022076195595076e-10,7.598765871082433e-15,1.0
27.24,1384,27,240000000,world,9.816000000011172,-9.80599999999905,4.29300000001169,-1.5855259805996424e-11,6.022079199389357e-10,1.7245468490524346e-14,1.0
27.264,1385,27,256000000,world,9.816000000011169,-9.805999999999047,4.29300000001169,-1.5855165388330328e-11,6.022080100315284e-10,2.222643500477712e-14,1.0
