Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,twist.linear.x,twist.linear.y,twist.linear.z,twist.angular.x,twist.angular.y,twist.angular.z
26.872,1367,26,872000000,world,4.362991572247617e-12,-3.916371031868676e-12,-1.5617402689649106e-10,-1.427353749760292e-10,4.068847101634293e-10,-1.273703381743661e-11
26.976,1368,26,968000000,world,1.9954078472857187e-13,-1.6142905253178196e-13,-1.1370406570076115e-11,-1.0831069407932822e-11,2.8852804628424717e-11,-3.572759846290164e-13
26.984,1369,26,984000000,world,7.756679439325092e-14,7.669278765694144e-15,-7.280115465686862e-12,-6.912397885293619e-12,1.8495305465345936e-11,1.2458374477718217e-13
27.0,1370,27,0,world,6.834338974703924e-14,-1.0121923305495344e-13,-4.65553891488625e-12,-4.521372512912509e-12,1.1799089888124923e-11,-2.9995788873264543e-13
27.024,1371,27,24000000,world,1.593050426646097e-13,-1.7493449782057398e-13,-2.380098625705993e-12,-2.3116042799672103e-12,6.06122413834853e-12,-6.449822805150633e-13
27.04,1372,27,32000000,world,1.6522569846436652e-13,-1.769699915743098e-13,-1.909892339758545e-12,-1.8386772322164727e-12,4.836968168600887e-12,-7.179486471422767e-13
27.056,1373,27,48000000,world,1.5756973490436275e-13,-1.6682580402876175e-13,-1.2224145295457947e-12,-1.1928072584633722e-12,3.1079682767856305e-12,-7.627281632768203e-13
27.072,1374,27,72000000,world,1.287638093640297e-13,-1.2533058130984525e-13,-6.2301899430086e-13,-5.975822737137915e-13,1.5953257502235555e-12,-7.643280668616752e-13
27.088,1375,27,80000000,world,1.3045864194296183e-13,-1.2865750232698354e-13,-4.945551124546687e-13,-4.89353777139646e-13,1.2815189553956165e-12,-8.166220097696816e-13
27.12,1376,27,104000000,world,1.525609281586145e-13,-1.5779959748506477e-13,-2.590455857974679e-13,-2.861400777429492e-13,6.537142331783681e-13,-9.10403611424641e-13
27.136,1377,27,120000000,world,1.1857239873692938e-13,-1.3302425893439724e-13,-1.233958163776721e-13,-1.4850156068486207e-13,3.3197501756833535e-13,-7.663794974550882e-13
27.136,1378,27,128000000,world,1.1857239873692938e-13,-1.3302425893439724e-13,-1.233958163776721e-13,-1.4850156068486207e-13,3.3197501756833535e-13,-7.663794974550882e-13
27.168,1379,27,152000000,world,7.895838586663168e-14,-6.314695180777152e-14,-3.744093232235397e-14,-8.766713847660738e-14,1.4658280897245044e-13,-3.765045654916848e-13
27.168,1380,27,160000000,world,7.895838586663168e-14,-6.314695180777152e-14,-3.744093232235397e-14,-8.766713847660738e-14,1.4658280897245044e-13,-3.765045654916848e-13
27.184,1381,27,176000000,world,-3.508579738108949e-14,6.564131559517711e-14,-1.2360876316961482e-14,-5.874032979842831e-15,6.356076070433066e-14,1.6140814730469729e-13
27.192,1382,27,192000000,world,-6.834836220522615e-14,9.354293382952125e-14,-9.793809348509778e-15,-3.014325308593012e-15,4.8785927733082615e-14,2.510168330685491e-13
27.208,1383,27,208000000,world,-1.4140498299571105e-13,1.317781817108728e-13,-5.000344729594921e-15,9.84093852053818e-15,3.004407863092761e-14,4.3142760132742767e-13
27.24,1384,27,240000000,world,-1.5319873607287307e-13,1.0908245785731848e-13,-1.228041957756998e-15,1.2981849523906021e-14,1.4880395275920756e-14,6.486728325500206e-13
27.264,1385,27,256000000,world,-1.2645854799873735e-13,1.1440711842631996e-13,-5.607881019921118e-16,1.1287622338951235e-14,1.0190092632743566e-14,6.263364812678371e-13
27.28,1386,27,272000000,world,-9.35532765258969e-14,1.0858894123752114e-13,-2.1681543129730528e-16,1.0400394272641042e-14,9.865518502654405e-15,5.805247041945251e-13
27.296,1387,27,288000000,world,-1.0748522066646738e-13,1.0232046035454714e-13,1.1463653933853794e-15,1.008959953666898e-14,4.576493164246337e-15,4.813350540846257e-13
