Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,twist.linear.x,twist.linear.y,twist.linear.z,twist.angular.x,twist.angular.y,twist.angular.z
31.448,1101,31,432000000,world,2.069684244373889e-09,2.247541264978103e-10,-1.641922312358109e-09,2.208425923596818e-10,-1.7925468826868422e-09,4.140735766534585e-09
31.456,1102,31,448000000,world,2.069684244373889e-09,2.247541264978103e-10,-1.641922312358109e-09,2.2085130018221886e-10,-1.7925466087987422e-09,4.140985450710082e-09
31.48,1103,31,472000000,world,2.069684244373889e-09,2.247541264978103e-10,-1.641922312358109e-09,2.2086102526814646e-10,-1.7925429671881138e-09,4.141366231305413e-09
31.52,1104,31,512000000,world,2.069684244373889e-09,2.247541264978103e-10,-1.641922312358109e-09,2.7043902282908964e-09,-3.8151443610189467e-08,5.59095965472829e-09
31.536,1105,31,528000000,world,2.069684244373889e-09,2.247541264978103e-10,-1.641922312358109e-09,7.527679654083949e-09,-1.7571449488048784e-09,4.27136271798996e-09
31.552,1106,31,544000000,world,2.069684244373889e-09,2.247541264978103e-10,-1.641922312358109e-09,2.4586252328902794e-09,1.2811865233744198e-09,4.081332304286838e-09
31.568,1107,31,560000000,world,2.069684244373889e-09,2.247541264978103e-10,-1.641922312358109e-09,4.842661133832872e-10,1.2360971121370239e-09,4.046667536648492e-09
31.592,1108,31,576000000,world,2.9090276802106947e-09,8.425606903401954e-11,-9.771692893239143e-09,-8.041305688517084e-11,4.668587744487609e-10,4.185524959205648e-09
31.6,1109,31,592000000,world,2.9090276802106947e-09,8.425606903401954e-11,-9.771692893239143e-09,-1.6400783120416514e-10,-2.0858929265354176e-10,4.214522586461591e-09
31.616,1110,31,608000000,world,2.9090276802106947e-09,8.425606903401954e-11,-9.771692893239143e-09,-9.848242515759463e-11,-7.456944710989222e-10,4.239194294668898e-09
31.632,1111,31,632000000,world,6.24149166395188e-10,6.301138907398622e-10,7.182282348103673e-09,4.564627919425325e-11,-1.3757158870674166e-09,4.342786518788502e-09
31.656,1112,31,648000000,world,6.24149166395188e-10,6.301138907398622e-10,7.182282348103673e-09,1.133615375806823e-10,-1.5920765560948962e-09,4.357867877822572e-09
31.664,1113,31,656000000,world,6.24149166395188e-10,6.301138907398622e-10,7.182282348103673e-09,1.3983424288519537e-10,-1.6711731718809493e-09,4.3630909931020035e-09
31.68,1114,31,672000000,world,6.24149166395188e-10,6.301138907398622e-10,7.182282348103673e-09,1.7942389269219364e-10,-1.787222108908546e-09,4.36657095753985e-09
31.696,1115,31,688000000,world,5.225006533381609e-10,5.886475757694313e-10,5.265199191757168e-09,2.243607424466823e-10,-1.9563768485437866e-09,4.468168447340588e-09
31.72,1116,31,704000000,world,5.225006533381609e-10,5.886475757694313e-10,5.265199191757168e-09,2.4202850094528673e-10,-2.005089483632364e-09,4.468797213929838e-09
31.736,1117,31,720000000,world,5.225006533381609e-10,5.886475757694313e-10,5.265199191757168e-09,2.5353511752865695e-10,-2.0365012868907194e-09,4.468624372963277e-09
31.752,1118,31,736000000,world,5.225006533381609e-10,5.886475757694313e-10,5.265199191757168e-09,2.607900723246274e-10,-2.0566972422064425e-09,4.46776110432359e-09
31.776,1119,31,768000000,world,4.828582693077831e-10,5.42523487984319e-10,4.057976149471945e-09,2.908403863635708e-10,-2.165730152927362e-09,4.5558646633134946e-09
31.792,1120,31,784000000,world,4.828582693077831e-10,5.42523487984319e-10,4.057976149471945e-09,2.932011329562991e-10,-2.1708260553493704e-09,4.556022153410067e-09
31.816,1121,31,800000000,world,4.828582693077831e-10,5.42523487984319e-10,4.057976149471945e-09,2.945408379280426e-10,-2.1742296978536278e-09,4.556254039664113e-09
31.824,1122,31,816000000,world,4.828582693077831e-10,5.42523487984319e-10,4.057976149471945e-09,2.9544632777646736e-10,-2.176397836828659e-09,4.5568813257203905e-09
31.84,1123,31,832000000,world,4.691836652022035e-10,4.949264181449087e-10,2.851197360039885e-09,3.214194165103084e-10,-2.262749445144159e-09,4.645675500333013e-09
31.864,1124,31,848000000,world,4.691836652022035e-10,4.949264181449087e-10,2.851197360039885e-09,3.2166712804041065e-10,-2.2636637170698058e-09,4.6452312330424985e-09
31.872,1125,31,864000000,world,4.691836652022035e-10,4.949264181449087e-10,2.851197360039885e-09,3.217872822098657e-10,-2.264267020147249e-09,4.644848500098042e-09
31.896,1126,31,880000000,world,4.506213264859322e-10,4.5105407929924845e-10,1.946381220751702e-09,3.507014787334902e-10,-2.3492257213246405e-09,4.742175085328109e-09
31.904,1127,31,896000000,world,4.506213264859322e-10,4.5105407929924845e-10,1.946381220751702e-09,3.5082966841579723e-10,-2.3494559883498628e-09,4.7427134345240135e-09
31.92,1128,31,912000000,world,4.506213264859322e-10,4.5105407929924845e-10,1.946381220751702e-09,3.5081004885067536e-10,-2.349643162608619e-09,4.743084403796074e-09
