Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,twist.linear.x,twist.linear.y,twist.linear.z,twist.angular.x,twist.angular.y,twist.angular.z
218.736,9913,218,736000000,world,2.2475816917987244e-11,-1.484160622340029e-11,-6.407437342628325e-10,-3.8951239528729927e-10,2.0171963800614455e-09,-6.032484807058644e-11
218.752,9914,218,744000000,world,1.8096072898072086e-11,-1.2886544793408352e-11,-5.682424565556873e-10,-3.9980264438840096e-10,1.692255620836105e-09,-4.9775984669691146e-11
218.76,9915,218,760000000,world,1.2317573924814127e-11,-1.0009582671950512e-11,-4.1506988974733765e-10,-3.378814227102109e-10,1.1551630141911016e-09,-3.61465174348734e-11
218.776,9916,218,776000000,world,8.00334795624564e-12,-6.161334452461373e-12,-2.866472832188601e-10,-2.489764841225235e-10,7.689273925408686e-10,-2.099670203159175e-11
218.808,9917,218,792000000,world,4.181603946937944e-12,-3.692343767080397e-12,-1.561153361280148e-10,-1.4269215025673465e-10,4.0687165533729343e-10,-1.273965605555591e-11
218.816,9918,218,816000000,world,3.0993568244835013e-12,-2.96089645735709e-12,-1.0223232784021098e-10,-9.512536190714722e-11,2.635521587525803e-10,-9.97085589906722e-12
218.832,9919,218,824000000,world,2.247606552401864e-12,-2.127411575528433e-12,-6.638161252654521e-11,-6.234064903976139e-11,1.7002484251361163e-10,-7.068770044841192e-12
218.848,9920,218,840000000,world,1.905545026137087e-12,-1.7449489324370673e-12,-5.3372783821888165e-11,-5.025082915952713e-11,1.3640921114452483e-10,-5.935499687767649e-12
218.864,9921,218,856000000,world,1.311692544288495e-12,-1.2667413380283227e-12,-2.760315017097783e-11,-2.6204301874244765e-11,7.021857860561531e-11,-4.433071943031189e-12
218.88,9922,218,872000000,world,1.1931245330166046e-12,-1.1592773096396932e-12,-2.2138828361581958e-11,-2.1039364522407264e-11,5.622557795570103e-11,-4.148120042380764e-12
218.896,9923,218,888000000,world,9.434956932297213e-13,-8.971640326235265e-13,-1.4211805502900913e-11,-1.349641782451369e-11,3.607544819700661e-11,-3.3082333126812287e-12
218.912,9924,218,904000000,world,7.656839103062001e-13,-6.223017762738265e-13,-7.28171366844986e-12,-6.8457723604138484e-12,1.850849396487703e-11,-2.8467100346408382e-12
218.928,9925,218,920000000,world,8.309048421215772e-13,-7.555452894737205e-13,-5.832262994317084e-12,-5.552247798823101e-12,1.4800565053505027e-11,-3.365203343793554e-12
218.944,9926,218,936000000,world,7.790864290659978e-13,-8.208918965482336e-13,-3.028306490783714e-12,-3.001059504775546e-12,7.572782439042828e-12,-2.7795542304391437e-12
218.96,9927,218,952000000,world,3.77689691198828e-13,-3.139616792288691e-13,-1.927685517842268e-12,-1.8120461429431244e-12,4.8703180677502485e-12,-1.0124835837245332e-12
218.976,9928,218,968000000,world,1.9683337263123913e-13,-1.1277718140916722e-13,-1.5326061417153387e-12,-1.3866731128531639e-12,3.903065212085297e-12,-3.6465220346710373e-13
218.992,9929,218,984000000,world,-7.016971985338695e-14,7.521687762622791e-14,-7.721527644733724e-13,-7.316078741995857e-13,1.9823069158049655e-12,2.8894431871254433e-13
219.008,9930,219,0,world,-1.326059885288287e-13,1.1933585949006434e-13,-6.158402725055587e-13,-5.973690389737557e-13,1.5866457444847723e-12,4.821448859040927e-13
219.04,9931,219,16000000,world,-1.9541116198380086e-13,1.7669883655507058e-13,-4.862767677920107e-13,-4.758168897977437e-13,1.2771068356918811e-12,8.021417192661363e-13
219.096,9932,219,56000000,world,-5.965194468415336e-13,5.842067293443035e-13,-1.1328125188163805e-13,-5.29239887246782e-14,3.473574983502921e-13,2.299349545689173e-12
219.104,9933,219,96000000,world,-5.025788995356807e-13,4.5071817132090615e-13,-2.0099265797522845e-14,3.8167921033263644e-14,1.0309126654837774e-13,1.8739805879375697e-12
219.128,9934,219,120000000,world,-2.1784326257491937e-13,1.3990892508068857e-13,-2.0045291094262592e-14,-2.9259758128822826e-15,4.880248595079742e-14,6.936409856970016e-13
219.136,9935,219,128000000,world,-2.7194740755516885e-14,-3.6819408730973706e-14,-2.856705298000307e-14,-3.716097777098421e-14,2.8351628886964005e-14,9.286966975065355e-14
219.16,9936,219,152000000,world,1.3103031307999677e-13,-1.2852825680334136e-13,-2.176145905969835e-14,1.781319725371733e-14,2.5082853368355346e-14,-4.3749450299966135e-13
219.168,9937,219,160000000,world,2.0317849713568714e-13,-2.1434512723971356e-13,-2.54585955454611e-14,-2.1256015623210746e-14,8.164635297920911e-15,-8.105205687334807e-13
219.192,9938,219,176000000,world,3.2492940970936855e-13,-3.3237026221872605e-13,-3.2909362898645734e-14,-4.47943729848598e-14,-1.7036589418298421e-15,-1.2314941619795948e-12
219.216,9939,219,192000000,world,3.711885055951031e-13,-3.7157307695144514e-13,-3.5684753356452444e-14,-4.678774270114316e-14,-1.193394010594487e-15,-1.3239468475270707e-12
219.224,9940,219,216000000,world,3.564784408105967e-13,-3.161594108237124e-13,-4.246231535891828e-14,-3.5462320561574585e-14,-1.909335901969357e-15,-1.4119238781149573e-12
219.24,9941,219,240000000,world,3.042892465423672e-13,-2.874172415176433e-13,-4.357534655892437e-14,-2.6218906819756765e-14,-2.4269564699432787e-15,-1.186077543247713e-12
219.272,9942,219,256000000,world,2.689779122296395e-13,-2.436071825577172e-13,-4.374613539362558e-14,-1.8790583516634906e-14,-3.388495147516025e-15,-9.403050856148633e-13
219.272,9943,219,272000000,world,2.1145518367168803e-13,-1.7833574565333205e-13,-4.354047380719115e-14,-1.111210000493232e-14,-2.4177094210475336e-15,-6.910238323189807e-13
219.352,9944,219,288000000,world,1.288604081178724e-13,-9.516391462655069e-14,-4.373361617231265e-14,-9.432420797394549e-15,-1.8836970806800123e-15,-4.522382818492757e-13
219.352,9945,219,304000000,world,5.85616994670187e-14,-9.109325396508033e-14,-4.91823699124567e-14,-5.2967547372111117e-14,-1.8645576174615513e-14,-2.1554432720738895e-13
219.352,9946,219,320000000,world,-2.1396187298547322e-09,4.468810477439532e-10,1.892627346901994e-08,-5.251526763332842e-08,-2.0158908810625247e-07,4.154080555678725e-09
219.352,9947,219,336000000,world,-1.1538981527845299e-10,1.5585295357350487e-10,6.430533557459154e-09,9.937377826313548e-09,-7.100554056766777e-09,4.550565001945934e-10
219.376,9948,219,352000000,world,2.6404414531618287e-11,4.352489473067421e-11,1.2790300531653593e-09,4.297532256834006e-09,2.312015806690363e-09,-5.847354476405592e-13
219.376,9949,219,376000000,world,3.868394608344286e-11,-1.5122152834359703e-11,-6.051827486078361e-10,2.633994865687297e-10,3.028640535463213e-09,-9.513144832998801e-11
219.384,9950,219,384000000,world,3.477196272942208e-11,-1.9179415735575184e-11,-6.96072165368548e-10,-1.2570465632591316e-10,2.721443018226856e-09,-9.177481249463436e-11
219.408,9951,219,408000000,world,1.8946673332400828e-11,-1.385406519821752e-11,-5.683634020099063e-10,-3.9959723704880414e-10,1.6929602637713284e-09,-5.260944686977266e-11
